input,output
2.7,0.13
2.8,0.15
2.9,0.33
3.0,0.5
3.1,0.68
3.2,0.85
3.3,1.03
3.4,1.2
3.5,1.57
3.6,1.93
3.7,2.3
3.8,2.9
3.9,3.55
4.0,4.28
4.1,5.0
4.2,5.71
4.3,6.43
4.4,7.14
4.5,7.86
4.6,8.57
4.7,9.29
4.8,10.0
4.9,11.25
5.0,12.5
5.1,14.0
5.2,16.8
5.3,21.2
5.4,25.6
5.5,30.0
5.6,33.0
5.7,36.0
5.8,39.0
5.9,42.0
6.0,45.0
6.1,48.0
6.2,53.0
6.3,62.0
6.4,74.67
6.5,87.33
6.6,100.0
